"","GEOID","Probs"
"326","06037183820",0.00214624315333587
"327","06037185310",0.00204550255737904
"328","06037186403",0.0021757226315392
"329","06037187300",0.00452303710118382
"330","06037189201",0.00402254885637883
"331","06037189903",0.00143296559891872
"332","06037189905",0.00437493685127206
"333","06037190520",0.00301039617697739
"334","06037191110",0.00336827751815247
"335","06037191820",0.000595604314795166
"336","06037192300",0.00129265878783164
"337","06073000202",0.000455644833071007
"338","06073000700",0.000270866656785388
"339","06037194401",0.00102496226554491
"340","06037195202",0.00366937075300297
"341","06037195710",0.00114121380870206
"342","06037195903",0.000562901616192389
"343","06037199400",0.00285882378315418
"344","06037201302",0.00683221948064185
"345","06037204810",0.00062022793115943
"346","06037207501",0.000315136173051353
"347","06037208401",0.000542824292249802
"348","06037208801",0.000638003694676112
"349","06037209300",0.000724669498267716
"350","06037209403",0.000326967080119327
"351","06037211122",0.000537266722264017
"352","06073001200",0.000220312744608436
"353","06073002002",0.00098594952967341
"354","06073002601",0.000221727591401348
"355","06073002707",0.000107064491711424
"356","06073002804",0.00121827956726602
"357","06073003103",0.00140883736571074
"358","06073003112",0.000675811121333057
"359","06073003211",0.000389427672680791
"360","06073003303",0.000182366895762379
"361","06073003502",0.000227418514376209
"362","06073006900",0.000717386452023303
"363","06073007905",0.00156052488277422
"364","06037211410",0.000398512049160654
"365","06037211802",0.000478777985250902
"366","06037212203",0.000155979749697075
"367","06037212304",0.000303255053672992
"368","06037212610",0.000524511739842123
"369","06037214600",0.00123845026329645
"370","06037216100",0.00115096142144557
"371","06037216401",0.000875378535734817
"372","06037218400",0.00236223574152852
"373","06037219500",0.00147684741038663
"374","06037220000",0.00250306810639783
"375","06037221303",0.000349695996339407
"376","06037221810",0.000452925206840554
"377","06037228320",0.000155930605840222
"378","06059001201",0.00483760404619546
"379","06059001303",0.00654221144372413
"380","06059001801",0.0101849257036822
"381","06059001902",0.00725272581596319
"382","06059011503",0.00437931520633657
"383","06059011715",0.0125414636335852
"384","06073008327",0.026794078251312
"385","06073008337",0.00732215489814975
"386","06073008349",0.00190009357973696
"387","06073008358",0.00351619432638179
"388","06073008361",0.000600834931669141
"389","06073008600",0.0018446029974593
"390","06073009101",0.00307711930546352
"391","06073009511",0.00168042784032757
"392","06073009804",0.00660114225363056
"393","06073010005",0.00328103926195427
"394","06073010106",0.0029120562208767
"395","06037228710",0.000361355450078002
"396","06037229300",0.00051186200696283
"397","06037231300",0.000978602133696691
"398","06037231800",0.000247462314945215
"399","06037232300",0.00120131039380723
"400","06037234200",0.00132091812326025
"401","06037236202",0.00164260799102267
"402","06037237300",0.00190251332736407
"403","06037237800",0.00183857219223446
"404","06037238310",0.000551786348403971
"405","06037239601",0.000433943848639376
"406","06037240300",0.00161741618950425
"407","06037242300",0.00151211568864685
"408","06059021920",0.092796183920839
"409","06059032020",0.0678958038294797
"410","06059032031",0.0520861492554966
"411","06059032048",0.0370261510401276
"412","06059032051",0.0203874658990723
"413","06059042103",0.341451852775247
"414","06059042114",0.0293991146174053
"415","06059042330",0.0552221747192157
"416","06059052410",0.0817201974954214
"417","06059052423",0.146573190825287
"418","06073010300",0.00801851409273082
"419","06073011000",0.000959469594061787
"420","06073012002",0.000253253022254813
"421","06073012302",0.000269774328786106
"422","06073013312",0.00289299117371873
"423","06073013411",0.00850277282947742
"424","06073013421",0.00402056029926878
"425","06073013801",0.0025279783216302
"426","06073014803",0.00267750936005583
"427","06073015405",0.0442747686432541
"428","06073015801",0.0010199855197226
"429","06037262704",0.0637594283287511
"430","06037265202",0.00620510502778251
"431","06037265304",0.00276862828750484
"432","06037265602",0.00359719167196767
"433","06037267402",0.00190390126466478
"434","06037267800",0.0070177597469924
"435","06037271702",0.00429535588736849
"436","06037272202",0.00129542957661506
"437","06037273402",0.00806577601390195
"438","06037275500",0.00330899747741206
"439","06037277200",0.000991980157471894
"440","06037293302",0.00293956087146258
"441","06037294200",0.00137584060000991
"442","06059052505",0.00786925956822528
"443","06059052520",0.0170915533049134
"444","06059052526",0.0109160977527326
"445","06059062631",0.0324765520060743
"446","06059063302",0.0205385080281284
"447","06059063604",0.0128235809877681
"448","06059063808",0.00508974586726015
"449","06059063906",0.00754100614200739
"450","06059074102",0.00373896321864007
"451","06059074407",0.00130277453939245
"452","06059074501",0.00152693893380636
"453","06059074806",0.0021418430035041
"454","06059075301",0.00400388569340701
"455","06073016614",0.0138852607897037
"456","06073016804",0.0332712915172885
"457","06073017015",0.0333436666352875
"458","06073017031",0.00587386259253432
"459","06073017036",0.00405571895037239
"460","06073017047",0.0126769515561614
"461","06073017055",0.006409457071193
"462","06073017702",0.00551533293562371
