GEOID,Probs
6059032036,0.067893875
6037980022,0.067444458
6111004400,0.067304449
6037800324,0.066937058
6037181000,0.066787221
6037800325,0.066252807
6059062648,0.065897058
6037262302,0.065553039
6111007611,0.06527836
6037106406,0.06432778
6037400604,0.064308215
6059062637,0.064062727
6037320202,0.063895064
6059042326,0.063777274
6037262704,0.063759428
6111004716,0.063102023
6111006302,0.062944439
6111007505,0.062642176
6037920109,0.062207204
6111006500,0.062167665
6037134424,0.062090924
6073016612,0.062003538
6037460000,0.061791022
6073010109,0.061681672
6037108102,0.061109784
6059052424,0.061025822
6037460200,0.061005774
6037402404,0.060877077
6111007000,0.060744269
6037920332,0.060703087
6083002802,0.060364921
6073015406,0.060207912
6037141700,0.060200105
6037920329,0.059160744
6083002906,0.059131668
6037194102,0.059065796
6059062625,0.058948271
6037408211,0.058920802
6037404600,0.058882548
6059032029,0.058694783
6059052415,0.058645231
6073010200,0.058182897
6037106113,0.05808829
6059062640,0.058063159
6037297500,0.05757306
6111000701,0.057532581
6037403304,0.057128072
6037701304,0.057113555
6037920033,0.056943436
6059021814,0.056826869
6037408627,0.056726355
6059075606,0.056560257
6059021826,0.056473754
6073018903,0.056263504
6037297400,0.056209211
6037143700,0.056056517
6037141500,0.055915481
6059042330,0.055222175
6037262303,0.055118332
6059042113,0.054740852
6037189701,0.054649064
6037403318,0.054612417
6059032050,0.054579977
6073008324,0.054350564
6111001602,0.054217665
6037920013,0.054200008
6059042334,0.054050976
6037403320,0.053957282
6111001401,0.053878887
6083000101,0.053852521
6059042338,0.053474607
6037108103,0.053365386
6037408402,0.053162541
6073021500,0.052992107
6083000600,0.05284571
6037262501,0.052679734
6037403312,0.05265545
6059052416,0.052599424
6059063004,0.052349972
6059062638,0.052122226
6059032031,0.052086149
6037101122,0.051955872
6037300600,0.05175819
6059062605,0.051729142
6059063007,0.051408581
6037500300,0.051226986
6083003001,0.051219809
6037910202,0.051146534
6059062646,0.051112865
6037701100,0.051059377
6037113235,0.050814628
6037980031,0.050784038
6073017019,0.050585328
6111008302,0.050125274
6037670201,0.049983715
6037980033,0.049844577
6059021905,0.049772993
6037403500,0.049201505
6111007901,0.048947687
6059032034,0.048867494
6111007800,0.048862809
6059063400,0.048469019
6037403405,0.048447028
6037400206,0.048331071
6111005908,0.048144226
6059001506,0.047991833
6037143902,0.047989216
6037402402,0.047722589
6059062636,0.047450861
6083002007,0.047102603
6059021918,0.045557899
6059099417,0.045448402
6059021922,0.045368377
6037101300,0.044969347
6037401800,0.044877777
6073016809,0.044735556
6037194200,0.044695599
6111007904,0.044693306
6111003605,0.04451972
6073009805,0.044464833
6111001601,0.044386092
6037408626,0.044362101
6073015405,0.044274769
6037408628,0.044016389
6111008306,0.04400725
6073020013,0.043972181
6037103400,0.043641978
6037403322,0.043551729
6059062635,0.043539104
6037104201,0.043454919
6083001601,0.043350937
6111005502,0.043320526
6073008333,0.043017321
6037460502,0.042869807
6037194101,0.042855064
6073016402,0.042705037
6037103101,0.042692096
6037403317,0.042472681
6059099514,0.042228874
6073013506,0.042133589
6059001601,0.041941163
6083002012,0.041507744
6059042106,0.041505004
6111005404,0.041058782
6073015602,0.041021859
6037106114,0.040962634
6073008350,0.040941483
6037104310,0.04087591
6037408625,0.040850564
6037403600,0.040703284
6083002909,0.040134211
6059063500,0.040080666
6059032040,0.040057122
6059063010,0.039876517
6037670701,0.039444313
6073016609,0.039177316
6073018601,0.039081536
6037300400,0.038976883
6037194300,0.038771269
6037430200,0.038384205
6111005401,0.038130959
6037264000,0.037888631
6037139801,0.037668479
6059001706,0.037567533
6037700700,0.037473486
6037104103,0.037192511
6037300200,0.03714267
6073017032,0.037081413
6059042310,0.03702808
6059032048,0.037026151
6083003005,0.036979316
6037920040,0.036973852
6059062642,0.036761441
6073013604,0.036743317
6083002924,0.036627545
6073020708,0.036398459
6073017033,0.036278076
6059021919,0.036184469
6111005503,0.036172204
6059001707,0.03589696
6037403316,0.035832635
6037402200,0.035758001
6111008002,0.035688079
6073016807,0.03561179
6037910401,0.035607873
6037143800,0.035559826
6059062800,0.035524735
6037461100,0.035492549
6111007609,0.035488918
6111005504,0.035208026
6073020020,0.035141881
6037137302,0.03513318
6059032035,0.034948177
6059062628,0.034823327
6037670405,0.034779167
6037670411,0.034656041
6037461000,0.034584604
6059063008,0.034458475
6037139701,0.034388305
6073019903,0.03433844
6037297300,0.034200122
6083000502,0.034172029
6111008101,0.034165927
6059062612,0.034096782
6083000102,0.033866682
6037461200,0.033693192
6037800331,0.033666374
6083002008,0.033601558
6111005909,0.033450611
6037670202,0.033442824
6059021916,0.033440032
6059110015,0.033400676
6037980015,0.033383283
6073017015,0.033343667
6073016804,0.033271292
6037400800,0.033235412
6037670403,0.033234191
6111008202,0.033096774
6083000200,0.033072197
6037403323,0.033064239
6059032054,0.032709967
6037139301,0.032685248
6037106645,0.032677148
6059052525,0.032649648
6037403305,0.032582923
6037433802,0.032512369
6059062631,0.032476552
6037106403,0.032433563
6037408629,0.032425717
6059099506,0.032367333
6037406300,0.032364387
6037901004,0.032226166
6037900504,0.032057626
6037300502,0.032028396
6037320300,0.031754232
6037910201,0.031727409
6059052421,0.031668751
6037702901,0.031611273
6111000702,0.031308911
6037920016,0.031196368
6073017501,0.030988445
6059021830,0.030983493
6037137104,0.030478924
6073008328,0.030445643
6037501501,0.030398384
6059021813,0.030103689
6083002009,0.030054318
6037403403,0.030010556
6059021915,0.029995577
6083002010,0.029988639
6059075809,0.02996088
6083002926,0.029956416
6037403303,0.029927731
6037137501,0.029885142
6037137402,0.029818555
6059001704,0.029686835
6059011000,0.029683237
6037320201,0.029635011
6037300501,0.029627578
6037106642,0.029616966
6037137000,0.029446282
6037408722,0.02940274
6059042114,0.029399115
6037980007,0.029225176
6083002703,0.02908256
6059099906,0.029061901
6073008366,0.02901983
6037113213,0.028978313
6083002210,0.028693022
6037430501,0.028559645
6037403000,0.028516059
6111003612,0.028455845
6037401311,0.028330229
6059042206,0.028290389
6037104203,0.028065515
6037402403,0.027920655
6037408202,0.027834486
6037651302,0.027795103
6073009507,0.027740836
6059042313,0.027713433
6083002913,0.027703921
6059011602,0.027562246
6037577603,0.027446855
6037297000,0.027399457
6073017601,0.027310283
6059032047,0.027263497
6037670406,0.027206234
6037403200,0.027122738
6037920030,0.027118042
6037139402,0.027114972
6037134905,0.027014481
6059021816,0.026956206
6059099513,0.026950328
6073008346,0.02682413
6073008327,0.026794078
6037408212,0.026770685
6059001503,0.02647514
6037670407,0.026424943
6059032055,0.026410419
6059011714,0.026224716
6083001203,0.026214554
6037980028,0.026202288
6037106604,0.026098544
6037621104,0.025910648
6073016811,0.025673913
6059021913,0.025603769
6073017109,0.025577171
6073020014,0.025547974
6037139600,0.025459742
6059001602,0.025457137
6111008004,0.025406173
6037265100,0.025399279
6059099504,0.025144886
6083001208,0.025134346
6037408705,0.025105882
6037137502,0.02507105
6037920331,0.025030787
6037460302,0.024937603
6059021829,0.024873874
6037137401,0.024826456
6073017306,0.024701993
6059001708,0.024509896
6037920322,0.024418866
6059052524,0.024340616
6059021914,0.024276217
6037403407,0.024201935
6073017053,0.023983719
6059001501,0.023934397
6083003004,0.023923384
6059052514,0.023901373
6083000900,0.023691613
6073017200,0.023677758
6037920035,0.023619157
6037189300,0.023586458
6037310900,0.023459652
6073018906,0.023343421
6037189702,0.023290357
6073010601,0.023228888
6037920028,0.022991798
6073016605,0.022958031
6073018612,0.022865818
6059001505,0.022853516
6083000400,0.022826504
6059062611,0.022740925
6073017054,0.022689508
6083002806,0.022633902
6083002914,0.022597437
6037920336,0.022596841
6073016607,0.022579173
6037651101,0.022570165
6059052419,0.022493262
6059099408,0.022473581
6073019303,0.022453157
6073017009,0.022439994
6073018608,0.022330569
6037265301,0.022293198
6073008335,0.022269464
6037408005,0.022260111
6059052527,0.022238456
6059099240,0.022233295
6037920337,0.022176558
6059110604,0.022142192
6037980030,0.022091313
6073007600,0.022086747
6037106520,0.022055388
6059099407,0.021989442
6073018513,0.02195068
6059099220,0.021925617
6111004717,0.0219055
6059021824,0.021891479
6037104108,0.021838589
6083002708,0.021825729
6083001604,0.021795769
6037920041,0.021793221
6037106641,0.021771371
6059075607,0.021740079
6059001504,0.021716821
6037401001,0.021657663
6059021802,0.021615036
6037430400,0.021563246
